Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packging,Retail,Total_emissions,Eutrophying emissions per 1000kcal (gPO₄eq per 1000kcal),Eutrophying emissions per kilogram (gPO₄eq per kilogram),Eutrophying emissions per 100g protein (gPO₄eq per 100 grams protein),Freshwater withdrawals per 1000kcal (liters per 1000kcal),Freshwater withdrawals per 100g protein (liters per 100g protein),Freshwater withdrawals per kilogram (liters per kilogram),Greenhouse gas emissions per 1000kcal (kgCO₂eq per 1000kcal),Greenhouse gas emissions per 100g protein (kgCO₂eq per 100g protein),Land use per 1000kcal (m² per 1000kcal),Land use per kilogram (m² per kilogram),Land use per 100g protein (m² per 100g protein),Scarcity-weighted water use per kilogram (liters per kilogram),Scarcity-weighted water use per 100g protein (liters per 100g protein),Scarcity-weighted water use per 1000kcal (liters per 1000 kilocalories),Matched_food_product,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
Wheat & Rye (Bread),0.1,0.0,0.8,0.2,0.1,0.1,0.1,1.4000000000000004,,,,,,,,,,,,,,,"Bread, wheat","Bread, wheat",100 g,267,3.2g,0.8g,0,508.00 mg,18.7 mg,85.00 mcg,20.00 mcg,5.620 mg,0,0.253 mg,0.415 mg,2.00 IU,0.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,44.00 mcg,0,0.00 mcg,0.111 mg,0.2 mg,0.00 IU,0.19 mg,0.19 mg,4.9 mcg,133.00 mg,0.159 mg,3.49 mg,45.00 mg,1.177 mg,149.00 mg,177.00 mg,28.8 mcg,1.19 mg,10.72 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.68 g,4.0 g,5.91 g,2.45 g,0.00 g,1.78 g,0.00 g,1.68 g,0.00 g,3.24 g,0.777 g,0.607 g,1.499 g,0.00 mg,0.0 g,2.16 g,0.00 mg,0.00 mg,35.20 g
Maize (Meal),0.3,0.0,0.5,0.1,0.1,0.1,0.0,1.1,,,,,,,,,,,,,,,Barley flour or meal,Barley flour or meal,100 g,345,1.6g,0.3g,0,4.00 mg,37.8 mg,8.00 mcg,0.00 mcg,6.269 mg,0.145 mg,0.114 mg,0.370 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,160.00 mcg,0,0.00 mcg,0.396 mg,0.0 mg,0.00 IU,0.57 mg,0.57 mg,2.2 mcg,32.00 mg,0.343 mg,2.68 mg,96.00 mg,1.034 mg,296.00 mg,309.00 mg,37.7 mcg,2.00 mg,10.50 g,0.409 g,0.526 g,0.655 g,0.232 g,2.741 g,0.380 g,0.236 g,0,0.383 g,0.713 g,0.391 g,0.202 g,0.589 g,1.247 g,0.443 g,0.356 g,0.175 g,0.301 g,0.515 g,74.52 g,10.1 g,0.80 g,0,0,0,0,0,0,1.60 g,0.335 g,0.205 g,0.771 g,0.00 mg,0.0 g,1.28 g,0.00 mg,0.00 mg,12.11 g
Barley (Beer),0.0,0.0,0.2,0.1,0.0,0.5,0.3,1.1,,,,,,,,,,,,,,,"Alcoholic beverage, BUDWEISER, regular, beer","Alcoholic beverage, BUDWEISER, regular, beer",100 g,41,0g,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97 g,0.0 g,0,0.00 g,0,0.00 g,0,0.00 g,0,0.00 g,0,0,0,0.00 mg,3.9 g,0.11 g,0,0,92.77 g
Oats,0.0,0.0,1.4,0.0,0.1,0.1,0.0,1.6,4.281357225,11.23,8.638461538,183.9115517,371.0769231,482.4,0.945482272,1.907692308,2.897445673,7.6,5.846153846,18786.2,14450.92308,7162.104461,Oats,Oats,100 g,389,6.9g,1.2g,0,2.00 mg,0,56.00 mcg,0.00 mcg,0.961 mg,1.349 mg,0.139 mg,0.763 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.119 mg,0.0 mg,0.00 IU,0,0,0,54.00 mg,0.626 mg,4.72 mg,177.00 mg,4.916 mg,523.00 mg,429.00 mg,0,3.97 mg,16.89 g,0.881 g,1.192 g,1.448 g,0.408 g,3.712 g,0.841 g,0.405 g,0,0.694 g,1.284 g,0.701 g,0.312 g,0.895 g,0.934 g,0.750 g,0.575 g,0.234 g,0.573 g,0.937 g,66.27 g,10.6 g,0,0,0,0,0,0,0,6.90 g,1.217 g,2.178 g,2.535 g,0.00 mg,0.0 g,1.72 g,0,0,8.22 g
Rice,0.0,0.0,3.6,0.1,0.1,0.1,0.1,4.0,9.51437873,35.07,49.3943662,609.9837222,3166.760563,2248.4,1.207270754,6.267605634,0.7596310359999999,2.8,3.943661972,49576.3,69825.77465,13449.891480000002,"Wild rice, raw","Wild rice, raw",100 g,357,1.1g,0.2g,0,7.00 mg,35.0 mg,95.00 mcg,0.00 mcg,6.733 mg,1.074 mg,0.262 mg,0.115 mg,19.00 IU,1.00 mcg,0.00 mcg,11.00 mcg,0.00 mcg,220.00 mcg,0,0.00 mcg,0.391 mg,0.0 mg,0.00 IU,0.82 mg,0.82 mg,1.9 mcg,21.00 mg,0.524 mg,1.96 mg,177.00 mg,1.329 mg,433.00 mg,427.00 mg,2.8 mcg,5.96 mg,14.73 g,0.825 g,1.136 g,1.419 g,0.174 g,2.565 g,0.672 g,0.384 g,0,0.618 g,1.018 g,0.629 g,0.438 g,0.721 g,0.519 g,0.778 g,0.469 g,0.179 g,0.622 g,0.858 g,74.90 g,6.2 g,2.50 g,0,0,0,0,0,0.67 g,1.08 g,0.156 g,0.159 g,0.676 g,0.00 mg,0.0 g,1.53 g,0.00 mg,0.00 mg,7.76 g
Potatoes,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,4.7540983610000005,3.48,20.47058824,80.73770492,347.6470588,59.1,0.628415301,2.705882353,1.202185792,0.88,5.176470588,2754.2,16201.17647,3762.568306,"Potatoes, skin, raw","Potatoes, skin, raw",100 g,58,0.1g,,0,10.00 mg,0,17.00 mcg,0.00 mcg,1.033 mg,0.302 mg,0.038 mg,0.021 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.239 mg,11.4 mg,0.00 IU,0,0,0,30.00 mg,0.423 mg,3.24 mg,23.00 mg,0.602 mg,38.00 mg,413.00 mg,0.3 mcg,0.35 mg,2.57 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.44 g,2.5 g,0,0,0,0,0,0,0,0.10 g,0.026 g,0.002 g,0.043 g,0.00 mg,0,1.61 g,0,0,83.29 g
Cassava,0.6,0.0,0.2,0.0,0.1,0.0,0.0,0.9,0.708418891,0.69,7.666666667,,,0.0,1.35523614,14.66666667,1.858316222,1.81,20.11111111,0.0,,,"Cassava, raw","Cassava, raw",100 g,160,0.3g,0.1g,0,14.00 mg,23.7 mg,27.00 mcg,0.00 mcg,0.854 mg,0.107 mg,0.048 mg,0.087 mg,13.00 IU,1.00 mcg,0.00 mcg,8.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.088 mg,20.6 mg,0.00 IU,0.19 mg,0.19 mg,1.9 mcg,16.00 mg,0.100 mg,0.27 mg,21.00 mg,0.384 mg,27.00 mg,271.00 mg,0.7 mcg,0.34 mg,1.36 g,0.038 g,0.137 g,0.079 g,0.028 g,0.206 g,0.028 g,0.020 g,0,0.027 g,0.039 g,0.044 g,0.011 g,0.026 g,0.033 g,0.033 g,0.028 g,0.019 g,0.017 g,0.035 g,38.06 g,1.8 g,1.70 g,0,0,0,0,0,0,0.28 g,0.074 g,0.075 g,0.048 g,0.00 mg,0.0 g,0.62 g,0.00 mg,0.00 mg,59.68 g
Cane Sugar,1.2,0.0,0.5,0.0,0.8,0.1,0.0,2.6,4.820512821,16.92,,176.66666669999998,,620.1,0.911680912,,0.581196581,2.04,,16438.6,,4683.361822999999,"Sugar, turbinado","Sugar, turbinado",100 g,399,0g,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.80 g,0,99.19 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,99.19 g,0.00 g,0,0,0,0,0,0.17 g,0,0,0.03 g
Beet Sugar,0.0,0.0,0.5,0.2,0.6,0.1,0.0,1.4,1.541310541,5.41,,62.02279202,,217.7,0.515669516,,0.5213675210000001,1.83,,9493.3,,2704.643875,"Sugar, turbinado","Sugar, turbinado",100 g,399,0g,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.80 g,0,99.19 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,99.19 g,0.00 g,0,0,0,0,0,0.17 g,0,0,0.03 g
Beans,0.0,0.0,1.1,0.0,0.1,0.4,0.0,1.6,5.008797653999999,17.08,7.97758057,,203.503036,435.7,0.524926686,0.836057917,4.565982405,15.57,7.272302662,22477.4,10498.55208,,"Beans, raw, mature seeds, pinto","Beans, raw, mature seeds, pinto",100 g,347,1.2g,0.2g,0,12.00 mg,66.2 mg,525.00 mcg,0.00 mcg,1.174 mg,0.785 mg,0.212 mg,0.713 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.474 mg,6.3 mg,0.00 IU,0.21 mg,0.21 mg,5.6 mcg,113.00 mg,0.893 mg,5.07 mg,176.00 mg,1.148 mg,411.00 mg,1393.00 mg,27.9 mcg,2.28 mg,21.42 g,0.872 g,1.096 g,2.268 g,0.187 g,3.027 g,0.796 g,0.556 g,0,0.871 g,1.558 g,1.356 g,0.259 g,1.095 g,1.072 g,1.171 g,0.810 g,0.237 g,0.427 g,0.998 g,62.55 g,15.5 g,2.11 g,0.00 g,0.00 g,0.13 g,0.00 g,0.00 g,1.98 g,1.23 g,0.235 g,0.229 g,0.407 g,0.00 mg,0.0 g,3.46 g,0.00 mg,0.00 mg,11.33 g
