Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packging,Retail,Total_emissions,Eutrophying emissions per 1000kcal (gPO₄eq per 1000kcal),Eutrophying emissions per kilogram (gPO₄eq per kilogram),Eutrophying emissions per 100g protein (gPO₄eq per 100 grams protein),Freshwater withdrawals per 1000kcal (liters per 1000kcal),Freshwater withdrawals per 100g protein (liters per 100g protein),Freshwater withdrawals per kilogram (liters per kilogram),Greenhouse gas emissions per 1000kcal (kgCO₂eq per 1000kcal),Greenhouse gas emissions per 100g protein (kgCO₂eq per 100g protein),Land use per 1000kcal (m² per 1000kcal),Land use per kilogram (m² per kilogram),Land use per 100g protein (m² per 100g protein),Scarcity-weighted water use per kilogram (liters per kilogram),Scarcity-weighted water use per 100g protein (liters per 100g protein),Scarcity-weighted water use per 1000kcal (liters per 1000 kilocalories),Matched_food_product,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
Wheat & Rye (Bread),0.1,0.0,0.8,0.2,0.1,0.1,0.1,1.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Bread, wheat",0.0,100,267,3.2,0.8,0,508.0,18.7,85.0,20.0,5.62,0.0,0.253,0.415,2.0,0.0,0.0,1.0,0.0,44.0,0,0.0,0.111,0.2,0.0,0.19,0.19,4.9,133.0,0.159,3.49,45.0,1.177,149.0,177.0,28.8,1.19,10.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.68,4.0,5.91,2.45,0.0,1.78,0.0,1.68,0.0,3.24,0.777,0.607,1.499,0.0,0.0,2.16,0.0,0.0,35.2
Maize (Meal),0.3,0.0,0.5,0.1,0.1,0.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barley flour or meal,0.0,100,345,1.6,0.3,0,4.0,37.8,8.0,0.0,6.269,0.145,0.114,0.37,0.0,0.0,0.0,0.0,0.0,160.0,0,0.0,0.396,0.0,0.0,0.57,0.57,2.2,32.0,0.343,2.68,96.0,1.034,296.0,309.0,37.7,2.0,10.5,0.409,0.526,0.655,0.232,2.741,0.38,0.236,0.0,0.383,0.713,0.391,0.202,0.589,1.247,0.443,0.356,0.175,0.301,0.515,74.52,10.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.335,0.205,0.771,0.0,0.0,1.28,0.0,0.0,12.11
Barley (Beer),0.0,0.0,0.2,0.1,0.0,0.5,0.3,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Alcoholic beverage, BUDWEISER, regular, beer",0.0,100,41,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.11,0.0,0.0,92.77
Oats,0.0,0.0,1.4,0.0,0.1,0.1,0.0,1.6,4.281357225,11.23,8.638461538,183.9115517,371.0769231,482.4,0.945482272,1.907692308,2.897445673,7.6,5.846153846,18786.2,14450.92308,7162.104461,Oats,0.0,100,389,6.9,1.2,0,2.0,0.0,56.0,0.0,0.961,1.349,0.139,0.763,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,54.0,0.626,4.72,177.0,4.916,523.0,429.0,0.0,3.97,16.89,0.881,1.192,1.448,0.408,3.712,0.841,0.405,0.0,0.694,1.284,0.701,0.312,0.895,0.934,0.75,0.575,0.234,0.573,0.937,66.27,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,1.217,2.178,2.535,0.0,0.0,1.72,0.0,0.0,8.22
Rice,0.0,0.0,3.6,0.1,0.1,0.1,0.1,4.0,9.51437873,35.07,49.3943662,609.9837222,3166.760563,2248.4,1.207270754,6.267605634,0.7596310359999999,2.8,3.943661972,49576.3,69825.77465,13449.891480000002,"Wild rice, raw",0.0,100,357,1.1,0.2,0,7.0,35.0,95.0,0.0,6.733,1.074,0.262,0.115,19.0,1.0,0.0,11.0,0.0,220.0,0,0.0,0.391,0.0,0.0,0.82,0.82,1.9,21.0,0.524,1.96,177.0,1.329,433.0,427.0,2.8,5.96,14.73,0.825,1.136,1.419,0.174,2.565,0.672,0.384,0.0,0.618,1.018,0.629,0.438,0.721,0.519,0.778,0.469,0.179,0.622,0.858,74.9,6.2,2.5,0.0,0.0,0.0,0.0,0.0,0.67,1.08,0.156,0.159,0.676,0.0,0.0,1.53,0.0,0.0,7.76
Potatoes,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,4.7540983610000005,3.48,20.47058824,80.73770492,347.6470588,59.1,0.628415301,2.705882353,1.202185792,0.88,5.176470588,2754.2,16201.17647,3762.568306,"Potatoes, skin, raw",0.0,100,58,0.1,0.0,0,10.0,0.0,17.0,0.0,1.033,0.302,0.038,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.239,11.4,0.0,0.0,0.0,0.0,30.0,0.423,3.24,23.0,0.602,38.0,413.0,0.3,0.35,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.44,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.026,0.002,0.043,0.0,0.0,1.61,0.0,0.0,83.29
Cassava,0.6,0.0,0.2,0.0,0.1,0.0,0.0,0.9,0.708418891,0.69,7.666666667,0.0,0.0,0.0,1.35523614,14.66666667,1.858316222,1.81,20.11111111,0.0,0.0,0.0,"Cassava, raw",0.0,100,160,0.3,0.1,0,14.0,23.7,27.0,0.0,0.854,0.107,0.048,0.087,13.0,1.0,0.0,8.0,0.0,0.0,0,0.0,0.088,20.6,0.0,0.19,0.19,1.9,16.0,0.1,0.27,21.0,0.384,27.0,271.0,0.7,0.34,1.36,0.038,0.137,0.079,0.028,0.206,0.028,0.02,0.0,0.027,0.039,0.044,0.011,0.026,0.033,0.033,0.028,0.019,0.017,0.035,38.06,1.8,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.074,0.075,0.048,0.0,0.0,0.62,0.0,0.0,59.68
Cane Sugar,1.2,0.0,0.5,0.0,0.8,0.1,0.0,2.6,4.820512821,16.92,0.0,176.66666669999998,0.0,620.1,0.911680912,0.0,0.581196581,2.04,0.0,16438.6,0.0,4683.361822999999,"Sugar, turbinado",0.0,100,399,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,99.19,0.0,0.0,0.0,0.0,0.0,99.19,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.03
Beet Sugar,0.0,0.0,0.5,0.2,0.6,0.1,0.0,1.4,1.541310541,5.41,0.0,62.02279202,0.0,217.7,0.515669516,0.0,0.5213675210000001,1.83,0.0,9493.3,0.0,2704.643875,"Sugar, turbinado",0.0,100,399,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,99.19,0.0,0.0,0.0,0.0,0.0,99.19,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.03
Beans,0.0,0.0,1.1,0.0,0.1,0.4,0.0,1.6,5.008797653999999,17.08,7.97758057,0.0,203.503036,435.7,0.524926686,0.836057917,4.565982405,15.57,7.272302662,22477.4,10498.55208,0.0,"Beans, raw, mature seeds, pinto",0.0,100,347,1.2,0.2,0,12.0,66.2,525.0,0.0,1.174,0.785,0.212,0.713,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.474,6.3,0.0,0.21,0.21,5.6,113.0,0.893,5.07,176.0,1.148,411.0,1393.0,27.9,2.28,21.42,0.872,1.096,2.268,0.187,3.027,0.796,0.556,0.0,0.871,1.558,1.356,0.259,1.095,1.072,1.171,0.81,0.237,0.427,0.998,62.55,15.5,2.11,0.0,0.0,0.13,0.0,0.0,1.98,1.23,0.235,0.229,0.407,0.0,0.0,3.46,0.0,0.0,11.33
