Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packging,Retail,Total_emissions,Eutrophying emissions per 1000kcal (gPO₄eq per 1000kcal),Eutrophying emissions per kilogram (gPO₄eq per kilogram),Eutrophying emissions per 100g protein (gPO₄eq per 100 grams protein),Freshwater withdrawals per 1000kcal (liters per 1000kcal),Freshwater withdrawals per 100g protein (liters per 100g protein),Freshwater withdrawals per kilogram (liters per kilogram),Greenhouse gas emissions per 1000kcal (kgCO₂eq per 1000kcal),Greenhouse gas emissions per 100g protein (kgCO₂eq per 100g protein),Land use per 1000kcal (m² per 1000kcal),Land use per kilogram (m² per kilogram),Land use per 100g protein (m² per 100g protein),Scarcity-weighted water use per kilogram (liters per kilogram),Scarcity-weighted water use per 100g protein (liters per 100g protein),Scarcity-weighted water use per 1000kcal (liters per 1000 kilocalories),Matched_food_product,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
Wheat & Rye (Bread),0.0001,0.0,0.0008,0.0002,0.0001,0.0001,0.0001,0.0014000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Bread, wheat",0.0,100,2.67,0.032,0.008,0.0,5.08,0.187,0.85,0.2,0.0562,0.0,0.00253,0.00415,0.02,0.0,0.0,0.01,0.0,0.44,0.0,0.0,0.00111,0.002,0.0,0.0019,0.0019,0.049,1.33,0.00159,0.0349,0.45,0.011770000000000001,1.49,1.77,0.28800000000000003,0.011899999999999999,0.1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4868,0.04,0.0591,0.0245,0.0,0.0178,0.0,0.0168,0.0,0.032400000000000005,0.00777,0.00607,0.014990000000000002,0.0,0.0,0.0216,0.0,0.0,0.35200000000000004
Maize (Meal),0.0003,0.0,0.0005,0.0001,0.0001,0.0001,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barley flour or meal,0.0,100,3.45,0.016,0.003,0.0,0.04,0.37799999999999995,0.08,0.0,0.06269,0.00145,0.00114,0.0037,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.00396,0.0,0.0,0.005699999999999999,0.005699999999999999,0.022000000000000002,0.32,0.0034300000000000003,0.0268,0.96,0.01034,2.96,3.09,0.377,0.02,0.105,0.00409,0.00526,0.00655,0.00232,0.02741,0.0038,0.0023599999999999997,0.0,0.00383,0.00713,0.00391,0.00202,0.005889999999999999,0.012470000000000002,0.00443,0.00356,0.0017499999999999998,0.00301,0.00515,0.7452,0.10099999999999999,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.00335,0.0020499999999999997,0.00771,0.0,0.0,0.0128,0.0,0.0,0.1211
Barley (Beer),0.0,0.0,0.0002,0.0001,0.0,0.0005,0.0003,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Alcoholic beverage, BUDWEISER, regular, beer",0.0,100,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0011,0.0,0.0,0.9277
Oats,0.0,0.0,0.0014,0.0,0.0001,0.0001,0.0,0.0016,4.281357225,11.23,8.638461538,183.9115517,371.0769231,482.4,0.945482272,1.907692308,2.897445673,7.6,5.846153846,18786.2,14450.92308,7162.104461,Oats,0.0,100,3.89,0.069,0.012,0.0,0.02,0.0,0.56,0.0,0.00961,0.01349,0.0013900000000000002,0.0076300000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011899999999999999,0.0,0.0,0.0,0.0,0.0,0.54,0.00626,0.0472,1.77,0.04916,5.23,4.29,0.0,0.0397,0.1689,0.00881,0.01192,0.01448,0.004079999999999999,0.03712,0.008409999999999999,0.004050000000000001,0.0,0.006939999999999999,0.01284,0.00701,0.00312,0.00895,0.009340000000000001,0.0075,0.00575,0.00234,0.00573,0.00937,0.6627,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.01217,0.02178,0.02535,0.0,0.0,0.0172,0.0,0.0,0.08220000000000001
Rice,0.0,0.0,0.0036,0.0001,0.0001,0.0001,0.0001,0.004,9.51437873,35.07,49.3943662,609.9837222,3166.760563,2248.4,1.207270754,6.267605634,0.7596310359999999,2.8,3.943661972,49576.3,69825.77465,13449.891480000002,"Wild rice, raw",0.0,100,3.57,0.011000000000000001,0.002,0.0,0.07,0.35,0.95,0.0,0.06733,0.010740000000000001,0.00262,0.00115,0.19,0.01,0.0,0.11,0.0,2.2,0.0,0.0,0.00391,0.0,0.0,0.008199999999999999,0.008199999999999999,0.019,0.21,0.00524,0.0196,1.77,0.01329,4.33,4.27,0.027999999999999997,0.0596,0.14730000000000001,0.00825,0.011359999999999999,0.014190000000000001,0.0017399999999999998,0.02565,0.00672,0.00384,0.0,0.00618,0.01018,0.0062900000000000005,0.00438,0.007209999999999999,0.00519,0.0077800000000000005,0.00469,0.00179,0.00622,0.008579999999999999,0.7490000000000001,0.062,0.025,0.0,0.0,0.0,0.0,0.0,0.0067,0.0108,0.00156,0.00159,0.00676,0.0,0.0,0.015300000000000001,0.0,0.0,0.0776
Potatoes,0.0,0.0,0.0002,0.0,0.0001,0.0,0.0,0.0003,4.7540983610000005,3.48,20.47058824,80.73770492,347.6470588,59.1,0.628415301,2.705882353,1.202185792,0.88,5.176470588,2754.2,16201.17647,3762.568306,"Potatoes, skin, raw",0.0,100,0.58,0.001,0.0,0.0,0.1,0.0,0.17,0.0,0.010329999999999999,0.00302,0.00037999999999999997,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023899999999999998,0.114,0.0,0.0,0.0,0.0,0.3,0.00423,0.032400000000000005,0.23,0.00602,0.38,4.13,0.003,0.0034999999999999996,0.025699999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1244,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.00026,2e-05,0.00043,0.0,0.0,0.0161,0.0,0.0,0.8329000000000001
Cassava,0.0006,0.0,0.0002,0.0,0.0001,0.0,0.0,0.0009,0.708418891,0.69,7.666666667,0.0,0.0,0.0,1.35523614,14.66666667,1.858316222,1.81,20.11111111,0.0,0.0,0.0,"Cassava, raw",0.0,100,1.6,0.003,0.001,0.0,0.14,0.237,0.27,0.0,0.008539999999999999,0.00107,0.00048,0.0008699999999999999,0.13,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0008799999999999999,0.20600000000000002,0.0,0.0019,0.0019,0.019,0.16,0.001,0.0027,0.21,0.00384,0.27,2.71,0.006999999999999999,0.0034000000000000002,0.013600000000000001,0.00037999999999999997,0.0013700000000000001,0.00079,0.00028000000000000003,0.0020599999999999998,0.00028000000000000003,0.0002,0.0,0.00027,0.00039,0.00043999999999999996,0.00010999999999999999,0.00026,0.00033,0.00033,0.00028000000000000003,0.00018999999999999998,0.00017,0.00035000000000000005,0.38060000000000005,0.018000000000000002,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0028000000000000004,0.00074,0.00075,0.00048,0.0,0.0,0.0062,0.0,0.0,0.5968
Cane Sugar,0.0012,0.0,0.0005,0.0,0.0008,0.0001,0.0,0.0026,4.820512821,16.92,0.0,176.66666669999998,0.0,620.1,0.911680912,0.0,0.581196581,2.04,0.0,16438.6,0.0,4683.361822999999,"Sugar, turbinado",0.0,100,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.0,0.9919,0.0,0.0,0.0,0.0,0.0,0.9919,0.0,0.0,0.0,0.0,0.0,0.0,0.0017000000000000001,0.0,0.0,0.0003
Beet Sugar,0.0,0.0,0.0005,0.0002,0.0006,0.0001,0.0,0.0014,1.541310541,5.41,0.0,62.02279202,0.0,217.7,0.515669516,0.0,0.5213675210000001,1.83,0.0,9493.3,0.0,2704.643875,"Sugar, turbinado",0.0,100,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.0,0.9919,0.0,0.0,0.0,0.0,0.0,0.9919,0.0,0.0,0.0,0.0,0.0,0.0,0.0017000000000000001,0.0,0.0,0.0003
Beans,0.0,0.0,0.0011,0.0,0.0001,0.0004,0.0,0.0016,5.008797653999999,17.08,7.97758057,0.0,203.503036,435.7,0.524926686,0.836057917,4.565982405,15.57,7.272302662,22477.4,10498.55208,0.0,"Beans, raw, mature seeds, pinto",0.0,100,3.47,0.012,0.002,0.0,0.12,0.662,5.25,0.0,0.011739999999999999,0.007850000000000001,0.00212,0.00713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004739999999999999,0.063,0.0,0.0021,0.0021,0.055999999999999994,1.13,0.00893,0.0507,1.76,0.011479999999999999,4.11,13.93,0.27899999999999997,0.022799999999999997,0.21420000000000003,0.00872,0.010960000000000001,0.02268,0.00187,0.030270000000000002,0.00796,0.005560000000000001,0.0,0.00871,0.01558,0.013560000000000001,0.0025900000000000003,0.01095,0.01072,0.01171,0.008100000000000001,0.0023699999999999997,0.0042699999999999995,0.00998,0.6255,0.155,0.021099999999999997,0.0,0.0,0.0013,0.0,0.0,0.019799999999999998,0.0123,0.0023499999999999997,0.00229,0.00407,0.0,0.0,0.0346,0.0,0.0,0.1133
